,Name,Latitude,Longitude,location
58,Evans Community Adult School,34.06356895141521,-118.24628742143683,"{""coordinates"": [-118.246287, 34.063569], ""type"": ""Point""}"
59,Civitas school of leaderdship,34.0591299533844,-118.2538104057312,"{""coordinates"": [-118.25381, 34.05913], ""type"": ""Point""}"
60,East-West Japanese Language School (イーストウエスト日本語学校),35.70112,139.679773,"{""coordinates"": [139.679773, 35.70112], ""type"": ""Point""}"
61,ASAO LANGUAGE SCHOOL 新宿教室,35.68785425223422,139.69951600912998,"{""coordinates"": [139.699516, 35.687854], ""type"": ""Point""}"
62,Yozemi Cram School,35.68868226372529,139.69196252994365,"{""coordinates"": [139.691963, 35.688682], ""type"": ""Point""}"
63,Nes Language School,35.695315,139.698642,"{""coordinates"": [139.698642, 35.695315], ""type"": ""Point""}"
64,HIPS(Housing&Interior Pro School,35.6957676681131,139.69834436352596,"{""coordinates"": [139.698344, 35.695768], ""type"": ""Point""}"
65,Trads fan school of music,35.68415858491897,139.70113164594173,"{""coordinates"": [139.701132, 35.684159], ""type"": ""Point""}"
66,Props ART SCHOOL,35.689605712890625,139.703125,"{""coordinates"": [139.703125, 35.689606], ""type"": ""Point""}"
67,Very Merry Music School,35.682054,139.698999,"{""coordinates"": [139.698999, 35.682054], ""type"": ""Point""}"
68,Music School Wood,35.690533,139.703183,"{""coordinates"": [139.703183, 35.690533], ""type"": ""Point""}"
69,ExeJapanBusinessSchool事務局,35.684169441451566,139.70523790061165,"{""coordinates"": [139.705238, 35.684169], ""type"": ""Point""}"
70,Tokyo Medical University Hospital (東京医科大学病院),35.693644,139.692003,"{""coordinates"": [139.692003, 35.693644], ""type"": ""Point""}"
71,lyrical school OFFICIAL STORE,35.692628,139.706325,"{""coordinates"": [139.706325, 35.692628], ""type"": ""Point""}"
72,flowershop & school petit blue,35.677822,139.687,"{""coordinates"": [139.687, 35.677822], ""type"": ""Point""}"
73,NAY Yoga School,35.695349,139.707974,"{""coordinates"": [139.707974, 35.695349], ""type"": ""Point""}"
74,schoolable,35.6974601,139.6973995,"{""coordinates"": [139.697399, 35.69746], ""type"": ""Point""}"
75,大久保小学校,35.69918134410529,139.70572421697983,"{""coordinates"": [139.705724, 35.699181], ""type"": ""Point""}"
