,Name,Latitude,Longitude,location
80,Gym at 901 D St,38.885438949985414,-77.02383727421147,"{""coordinates"": [-77.023837, 38.885439], ""type"": ""Point""}"
81,The Lansburgh Gym,38.89550735856975,-77.02249179167394,"{""coordinates"": [-77.022492, 38.895507], ""type"": ""Point""}"
82,Balance Gym,38.90462906639839,-77.03099209748461,"{""coordinates"": [-77.030992, 38.904629], ""type"": ""Point""}"
83,Victor Building Gym,38.89976119995117,-77.0245590209961,"{""coordinates"": [-77.024559, 38.899761], ""type"": ""Point""}"
84,650 Mass Ave Gym,38.89577471108614,-77.02181478808406,"{""coordinates"": [-77.021815, 38.895775], ""type"": ""Point""}"
85,Thomas Circle Gym,38.90598414137809,-77.03054178965814,"{""coordinates"": [-77.030542, 38.905984], ""type"": ""Point""}"
86,CoStar Gym,38.90414788246037,-77.03110888388255,"{""coordinates"": [-77.031109, 38.904148], ""type"": ""Point""}"
87,Columbia Plaza - Gym,38.89736293319325,-77.05153415285233,"{""coordinates"": [-77.051534, 38.897363], ""type"": ""Point""}"
88,Post Mass Gym,38.90727502586267,-77.0339634283356,"{""coordinates"": [-77.033963, 38.907275], ""type"": ""Point""}"
89,1200 19th St Gym,38.9061164855957,-77.04391479492188,"{""coordinates"": [-77.043915, 38.906116], ""type"": ""Point""}"
90,400 Mass Ave Gym,38.900071999999994,-77.01703499999999,"{""coordinates"": [-77.017035, 38.900072], ""type"": ""Point""}"
91,425 Mass Gym,38.90080289184772,-77.01692699615293,"{""coordinates"": [-77.016927, 38.900803], ""type"": ""Point""}"
